zoneId;data;temp_media;umidita_med;radSolareMedia;precipitazione
Zones ;Data;float;float;float;float
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 00:00;11.65;86.28;11.54;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 00:30;11.20;86.35;11.41;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 01:00;10.89;87.19;11.50;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 01:30;10.91;88.06;11.21;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 02:00;11.34;88.33;11.03;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 02:30;11.43;87.87;11.54;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 03:00;11.62;87.91;11.49;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 03:30;11.42;87.77;11.29;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 04:00;11.75;88.05;11.37;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 04:30;11.24;87.04;11.20;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 05:00;11.02;87.72;11.74;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 05:30;10.54;88.43;11.73;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 06:00;10.63;88.92;11.16;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 06:30;10.75;89.52;15.26;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 07:00;10.68;88.91;55.75;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 07:30;10.40;89.26;103.60;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 08:00;11.62;88.94;182.45;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 08:30;12.65;85.76;235.29;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 09:00;14.05;81.19;254.18;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 09:30;14.78;77.47;250.00;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 10:00;16.05;72.01;376.98;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 10:30;16.53;70.22;411.34;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 11:00;16.53;69.30;377.50;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 11:30;16.41;69.24;372.93;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 12:00;16.53;69.75;428.34;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 12:30;16.64;71.48;391.72;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 13:00;16.60;73.12;368.68;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 13:30;16.91;69.37;301.78;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 14:00;16.48;71.60;116.82;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 14:30;16.05;73.87;93.08;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 15:00;15.43;74.79;44.71;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 15:30;15.34;75.93;25.91;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 16:00;15.23;76.36;13.79;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 16:30;15.25;77.30;12.86;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 17:00;15.34;76.60;12.38;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 17:30;15.42;69.77;12.34;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 18:00;15.70;65.08;12.75;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 18:30;15.64;66.58;12.35;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 19:00;15.25;68.71;12.61;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 19:30;14.88;71.13;12.26;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 20:00;15.39;65.84;12.65;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 20:30;15.45;66.78;12.06;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 21:00;14.29;74.27;12.34;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 21:30;13.83;76.12;12.04;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 22:00;13.62;77.10;12.29;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 22:30;14.05;73.31;11.91;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;01/01/2024 23:00;14.06;73.93;11.22;0.20
7e7dd09c-a8ee-414d-b138-c058a3a3066e;01/01/2024 23:30;13.94;73.48;11.70;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 00:00;14.37;71.23;12.02;0.40
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 00:30;13.68;79.33;12.17;0.40
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 01:00;13.31;81.46;12.33;0.60
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 01:30;12.70;83.86;11.75;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 02:00;12.68;84.82;11.82;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 02:30;12.35;84.49;11.50;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 03:00;12.46;85.31;11.23;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 03:30;12.26;84.64;11.64;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 04:00;11.51;86.25;11.17;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 04:30;11.45;87.26;0.00;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 05:00;11.44;85.06;0.00;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 05:30;11.30;79.90;11.03;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 06:00;11.26;73.47;11.08;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 06:30;11.53;66.80;13.53;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 07:00;11.38;65.15;39.28;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 07:30;11.84;63.69;107.58;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 08:00;12.79;60.20;172.18;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 08:30;13.57;59.74;236.89;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 09:00;14.46;58.10;297.35;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 09:30;14.98;56.39;347.75;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 10:00;16.09;52.93;388.91;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 10:30;16.76;52.71;420.90;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 11:00;17.30;50.37;440.02;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 11:30;17.65;49.54;442.71;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 12:00;17.22;50.49;439.94;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 12:30;17.44;48.37;411.48;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 13:00;17.17;49.27;375.21;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 13:30;16.88;51.73;327.63;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 14:00;16.82;51.08;265.29;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 14:30;16.81;48.97;199.43;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 15:00;17.10;46.67;136.06;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 15:30;15.91;55.08;60.85;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 16:00;14.65;63.13;16.26;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 16:30;14.48;64.14;12.75;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 17:00;14.29;67.19;11.98;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 17:30;13.87;68.17;11.64;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 18:00;12.92;67.55;11.63;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 18:30;12.27;71.71;11.68;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 19:00;12.02;72.95;11.68;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 19:30;11.81;74.43;11.45;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 20:00;11.62;76.17;11.43;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 20:30;12.02;71.64;11.74;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 21:00;12.56;66.23;11.67;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 21:30;12.93;63.15;11.75;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 22:00;13.05;63.57;11.86;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 22:30;13.21;63.60;11.66;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;02/01/2024 23:00;13.32;64.52;11.85;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;02/01/2024 23:30;13.31;65.48;11.95;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;03/01/2024 00:00;13.17;66.53;11.91;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;03/01/2024 00:30;11.49;70.16;11.40;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;03/01/2024 01:00;10.68;73.13;11.73;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;03/01/2024 01:30;10.33;75.11;11.17;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;03/01/2024 02:00;10.91;73.77;11.36;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;03/01/2024 02:30;11.35;73.64;11.50;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;03/01/2024 03:00;12.42;70.76;11.32;0.00
7e7dd09c-a8ee-414d-b138-c058a3a3066e;03/01/2024 03:30;12.99;65.87;11.88;0.00
0b13c64b-08ff-4a61-985f-2b44b23c7c45;03/01/2024 04:00;12.42;67.62;11.61;0.00
